酷9本地移动js源,#genre#
CCTV12,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000032494$8M FHD
CCTV12,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265012$6M FHD HEVC
CCTV12,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=5325631075193490169$2M HD
CCTV13,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000005000001827$4M FHD
CCTV13,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000011000031108$8M FHD
CCTV13,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=8144735820797832112$2M SD
CCTV13,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=8593685226043367730$2M SD
CCTV13,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000002000021303$4M FHD
CCTV13,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265101$6M FHD HEVC
CCTV13,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=6918130250570453526$2M HD
CCTV14,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000004000006673$8M FHD
CCTV14,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000010000023358$4M FHD
CCTV14,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=8533174746904291143$2M SD
CCTV14,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=6000000001000013647$8M FHD
CCTV14,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=6113730085955692619$2M HD
CCTV14,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000008170$8M FHD
CCTV14,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000021349$4M FHD
CCTV14,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265013$6M FHD HEVC
CCTV14,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=8203666801302077036$2M HD
CCTV15,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000005000018417$4M FHD
CCTV15,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000011000031109$8M FHD
CCTV15,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=5527219383522032005$2M SD
CCTV15,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000002000008163$4M FHD
CCTV15,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265014$6M FHD HEVC
CCTV15,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=4832596595465032187$2M HD
CCTV16,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000008000023253$8M FHD
CCTV16,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000006000233001$4M FHD
CCTV16,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000006000233002$8M FHD
CCTV16 4K,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000008000023254$12M UHD HEVC
CCTV17,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000011000288014$8M FHD
CCTV17,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000056836$4M FHD
CCTV17,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265015$6M FHD HEVC
CCTV17,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000006000268004$8M FHD
湖南卫视,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000004000006692$8M FHD
湖南卫视,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000010000030452$4M FHD
湖南卫视,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000011000265010$4M FHD HEVC
湖南卫视,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=8134113048876071035$2M SD
湖南卫视,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=9156315265568865780$2M SD
湖南卫视,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=6000000001000018044$8M FHD
湖南卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000009115$4M FHD
湖南卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000032695$8M FHD
湖南卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265024$6M FHD HEVC
湖南卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=6954818217931477266$2M HD
湖南卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=8655038471675748531$2M HD
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000004000014098$8M FHD
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000010000032246$4M FHD
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000011000265007$4M FHD HEVC
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=2000000002000000056$2M SD
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=5172136776786813822$2M SD
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=6437032193071740776$2M SD
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=6000000001000003639$8M FHD
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=6690661682550849647$2M HD
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000005866$8M FHD
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000030202$4M FHD
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265018$6M FHD HEVC
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=4699937686040264690$2M HD
东方卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=6081477947334326291$2M HD
江苏卫视,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000004000019351$8M FHD
江苏卫视,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000010000018509$4M FHD
江苏卫视,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000011000265009$4M FHD HEVC
江苏卫视,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=7397162709759672535$2M SD
江苏卫视,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=7782585682414689856$2M SD
江苏卫视,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=6000000001000014861$8M FHD
江苏卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000001828$8M FHD
江苏卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000004684$4M FHD
江苏卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265030$6M FHD HEVC
江苏卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=4690153511271751319$2M HD
江苏卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=4796340999304424198$2M HD
广东卫视,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000004000014694$8M FHD
广东卫视,http://A/PLTV/ku9/js/yditv.js?cid=bestzb&key=5000000010000030417$4M FHD
广东卫视,http://A/PLTV/ku9/js/yditv.js?cid=hnbblive&key=6006643234125022740$2M SD
广东卫视,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=5306115082857917057$2M HD
广东卫视,http://A/PLTV/ku9/js/yditv.js?cid=wasusyt&key=6000000001000031076$8M FHD
广东卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000014176$8M FHD
广东卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000001000028357$4M FHD
广东卫视,http://A/PLTV/ku9/js/yditv.js?cid=ystenlive&key=1000000005000265034$6M FHD HEVC
